package,version,snapshot_time,folder,subfolder,submission_time
baRcodeR,0.1.7,2022-03-31 22:22:04,waiting,NA,2022-03-31 13:16:00
BayesMallows,1.1.1,2022-03-31 22:22:04,inspect,NA,2022-03-31 19:30:00
bbotk,0.5.2,2022-03-31 22:22:04,waiting,NA,2022-03-28 07:59:00
bmstdr,0.1.3,2022-03-31 22:22:04,inspect,NA,2022-03-31 18:39:00
broom.mixed,0.2.9.4,2022-03-31 22:22:04,pending,NA,2022-03-30 14:38:00
chemCal,0.2.3,2022-03-31 22:22:04,inspect,NA,2022-03-31 18:33:00
DEM,0.0.0.1,2022-03-31 22:22:04,newbies,NA,2022-03-31 15:07:00
dynaTree,1.2-11,2022-03-31 22:22:04,inspect,NA,2022-03-31 12:24:00
Evacluster,0.1.0,2022-03-31 22:22:04,newbies,NA,2022-03-31 18:37:00
EviewsR,0.1.1,2022-03-31 22:22:04,pretest,NA,2022-03-31 20:20:00
fixest,0.10.4,2022-03-31 22:22:04,inspect,NA,2022-03-31 13:05:00
FlywayNet,0.1.1,2022-03-31 22:22:04,waiting,NA,2022-03-14 17:25:00
igraph,1.3.0,2022-03-31 22:22:04,waiting,NA,2022-03-30 19:47:00
KODAMA,1.9,2022-03-31 22:22:04,inspect,NA,2022-03-29 13:49:00
MAFDash,0.2.1,2022-03-31 22:22:04,waiting,NA,2022-03-31 17:15:00
Matching,4.9-12,2022-03-31 22:22:04,waiting,NA,2022-03-31 19:42:00
MLVSBM,0.2.3,2022-03-31 22:22:04,waiting,NA,2022-03-30 09:19:00
MolgenisArmadillo,1.1.3,2022-03-31 22:22:04,inspect,NA,2022-03-31 13:34:00
PMAPscore,0.1.0,2022-03-31 22:22:04,newbies,NA,2022-03-31 13:31:00
qmix,0.1.2.2,2022-03-31 22:22:04,inspect,NA,2022-03-31 12:22:00
rstantools,2.2.0,2022-03-31 22:22:04,waiting,NA,2022-03-23 20:18:00
SpatialGEV,1.0.0,2022-03-31 22:22:04,inspect,NA,2022-03-31 19:45:00
SpatialPOP,0.1.0,2022-03-31 22:22:04,newbies,NA,2022-03-31 17:32:00
SPCompute,1.0.1,2022-03-31 22:22:04,inspect,NA,2022-03-31 15:02:00
timbeR,2.0.0,2022-03-31 22:22:04,newbies,NA,2022-03-31 16:25:00
tippy,1.0.0,2022-03-31 22:22:04,waiting,NA,2022-03-26 17:50:00
