package,version,snapshot_time,folder,subfolder
altadata,0.1.1,2020-12-03 10:17:50,newbies,NA
BGmisc,0.1,2020-12-03 10:17:50,newbies,NA
blatent,0.1.0,2020-12-03 10:17:50,newbies,NA
bscaling,1.0,2020-12-03 10:17:50,newbies,NA
clevr,0.1.1,2020-12-03 10:17:50,newbies,NA
cohorttools,0.1.4,2020-12-03 10:17:50,publish,NA
colourvalues,0.3.7,2020-12-03 10:17:50,pending,NA
dashCoreComponents,1.13.0,2020-12-03 10:17:50,waiting,NA
dashTable,4.11.0,2020-12-03 10:17:50,waiting,NA
dataReporter,1.0.0,2020-12-03 10:17:50,pretest,NA
envi,0.1.3,2020-12-03 10:17:50,newbies,NA
epiR,2.0.17,2020-12-03 10:17:50,waiting,NA
gfilinreg,1.0.0,2020-12-03 10:17:50,newbies,NA
ggstatsplot,0.6.6,2020-12-03 10:17:50,pretest,NA
googleAuthR,1.3.1,2020-12-03 10:17:50,pretest,NA
HDiR,1.0,2020-12-03 10:17:50,newbies,NA
iccde,0.2.0,2020-12-03 10:17:50,newbies,NA
IMIX,0.2-2,2020-12-03 10:17:50,newbies,NA
libproj,7.1.0-3,2020-12-03 10:17:50,pending,NA
locStra,1.6,2020-12-03 10:17:50,pending,NA
microbial,0.0.17,2020-12-03 10:17:50,newbies,NA
mlpack,3.4.2,2020-12-03 10:17:50,newbies,NA
mockthat,0.1.1,2020-12-03 10:17:50,newbies,NA
motifr,1.0.0,2020-12-03 10:17:50,pretest,NA
N2R,0.1.1,2020-12-03 10:17:50,pending,NA
nhsnumber,0.1.1,2020-12-03 10:17:50,newbies,NA
pafr,0.0.2,2020-12-03 10:17:50,newbies,NA
pflamelet,0.1.0,2020-12-03 10:17:50,newbies,NA
ProFound,1.14.0,2020-12-03 10:17:50,pretest,NA
rdacca.hp,0.1.0,2020-12-03 10:17:50,newbies,NA
RecAssoRules,1.0,2020-12-03 10:17:50,newbies,NA
RFCCA,1.0.2,2020-12-03 10:17:50,newbies,NA
rhcoclust,1.0.0,2020-12-03 10:17:50,newbies,NA
sapevom,0.1.0,2020-12-03 10:17:50,newbies,NA
savonliquide,0.1.0,2020-12-03 10:17:50,newbies,NA
sccore,0.1.1,2020-12-03 10:17:50,pending,NA
simPH,1.3.13,2020-12-03 10:17:50,pretest,NA
SkeweDF,0.1.0,2020-12-03 10:17:50,newbies,NA
SleepCycles,1.0.1,2020-12-03 10:17:50,newbies,NA
spass,1.3,2020-12-03 10:17:50,waiting,NA
SurrogateRegression,0.5.0,2020-12-03 10:17:50,newbies,NA
tidyBF,0.4.1,2020-12-03 10:17:50,pretest,NA
tsibble,0.9.4,2020-12-03 10:17:50,waiting,NA
