package,version,snapshot_time,folder,subfolder
BayesDesign,0.1.1,2021-05-03 16:25:07,newbies,NA
diathor,0.0.6,2021-05-03 16:25:07,inspect,NA
DockerParallel,1.0.0,2021-05-03 16:25:07,newbies,NA
dplyr,1.0.6,2021-05-03 16:25:07,waiting,NA
FiSh,1.1,2021-05-03 16:25:07,pretest,NA
GeodesiCL,1.0.0,2021-05-03 16:25:07,waiting,NA
GeoFIS,1.0.1,2021-05-03 16:25:07,pending,NA
geouy,0.2.4,2021-05-03 16:25:07,inspect,NA
greed,0.5.1,2021-05-03 16:25:07,pending,NA
hBayesDM,1.1.1,2021-05-03 16:25:07,inspect,NA
ipeadatar,0.1.3,2021-05-03 16:25:07,waiting,NA
meerva,0.2-1,2021-05-03 16:25:07,waiting,NA
MoBPS,1.6.38,2021-05-03 16:25:07,pretest,NA
paramlink2,1.0.2,2021-05-03 16:25:07,newbies,NA
passt,0.1.3,2021-05-03 16:25:07,pretest,NA
platowork,0.0.1,2021-05-03 16:25:07,pretest,NA
proxyC,0.2.0,2021-05-03 16:25:07,waiting,NA
purgeR,1.1,2021-05-03 16:25:07,pending,NA
qch,1.0.0,2021-05-03 16:25:07,newbies,NA
Rage,1.0.0,2021-05-03 16:25:07,pretest,NA
rNeighborGWAS,1.2.4,2021-05-03 16:25:07,pending,NA
RSiena,1.3.0,2021-05-03 16:25:07,pending,NA
seedreg,1.0.0,2021-05-03 16:25:07,newbies,NA
sendgridr,0.2.4,2021-05-03 16:25:07,newbies,NA
settings,0.2.6,2021-05-03 16:25:07,waiting,NA
SubtypeDrug,0.1.5,2021-05-03 16:25:07,inspect,NA
tesseract,4.1.1,2021-05-03 16:25:07,pending,NA
timsr,0.0.2,2021-05-03 16:25:07,newbies,NA
